city,country,airport
Tirana,Albania,TIA
Yerevan Zvartnots,Armenia,EVN
Graz,Austria,GRZ
Innsbruck,Austria,INN
Klagenfurt,Austria,KLU
Linz,Austria,LNZ
Salzburg,Austria,SZG
Vienna,Austria,VIE
Baku,Azerbaijan,GYD
Minsk,Belarus,MSQ
Antwerp,Belgium,ANR
Brussels,Belgium,BRU
Charleroi,Belgium,CRL
Liege,Belgium,LGG
Ostend Bruges,Belgium,OST
Sarajevo,Bosnia and Herzegovina,SJJ
Tuzla,Bosnia and Herzegovina,TZL
Burgas,Bulgaria,BOJ
Sofia,Bulgaria,SOF
Varna,Bulgaria,VAR
Dubrovnik,Croatia,DBV
Pula,Croatia,PUY
Split,Croatia,SPU
Zadar,Croatia,ZAD
Zagreb,Croatia,ZAG
Larnaca,Cyprus,LCA
Paphos,Cyprus,PFO
Brno,Czech Republic,BRQ
Prague,Czech Republic,PRG
Aalborg,Denmark,AAL
Aarhus,Denmark,AAR
Billund,Denmark,BLL
Copenhagen,Denmark,CPH
Vágar,Denmark,FAE
Tallinn,Estonia,TLL
Helsinki,Finland,HEL
Oulu,Finland,OUL
Rovaniemi,Finland,RVN
Tampere,Finland,TMP
Turku,Finland,TKU
Vaasa,Finland,VAA
Ajaccio,France,AJA
Bastia,France,BIA
Bergerac,France,EGC
Biarritz,France,BIQ
Bordeaux,France,BOD
Brest Bretagne,France,BES
Figari South Corsica,France,FSC
Lille,France,LIL
Lyon-Saint Exupéry,France,LYS
Marseille,France,MRS
Montpellier,France,MPL
Nantes,France,NTE
Nice,France,NCE
Paris Beauvais,France,BVA
Paris Charles de Gaulle,France,CDG
Paris Orly,France,ORY
Strasbourg,France,SXB
Rennes Bretagne,France,RNS
Réunion Roland Garros,France,RUN
Toulon-Hyères,France,TLN
Toulouse Blagnac,France,TLS
Kutaisi,Georgia,KUT
Tbilisi,Georgia,TBS
Allgäu Memmingen,Germany,FMM
Berlin Brandenburg,Germany,BER
Berlin Schönefeld,Germany,SXF
Berlin Tegel,Germany,TXL
Bremen,Germany,BRE
Cologne Bonn,Germany,CGN
Dortmund,Germany,DTM
Dresden,Germany,DRS
Düsseldorf,Germany,DUS
Frankfurt,Germany,FRA
Frankfurt-Hahn,Germany,HHN
Friedrichshafen,Germany,FDH
Hamburg,Germany,HAM
Hanover,Germany,HAJ
Karlsruhe Baden-Baden,Germany,FKB
Leipzig Halle,Germany,LEJ
Munich,Germany,MUC
Münster Osnabrück,Germany,FMO
Nuremberg,Germany,NUE
Paderborn Lippstadt,Germany,PAD
Stuttgart,Germany,STR
Weeze,Germany,NRN
Athens,Greece,ATH
Chania,Greece,CHQ
Corfu,Greece,CFU
Heraklion,Greece,HER
Kos,Greece,KGS
Mykonos,Greece,JMK
Rhodes,Greece,RHO
Santorini,Greece,JTR
Thessaloniki,Greece,SKG
Zante,Greece,ZTH
Budapest,Hungary,BUD
Debrecen,Hungary,DEB
Keflavik,Iceland,KEF
Cork,Ireland,ORK
Dublin,Ireland,DUB
Ireland West Knock,Ireland,NOC
Kerry,Ireland,KIR
Shannon,Ireland,SNN
Alghero,Italy,AHO
Ancona,Italy,AOI
Bari,Italy,BRI
Bergamo,Italy,BGY
Bologna,Italy,BLQ
Brindisi,Italy,BDS
Cagliari,Italy,CAG
Catania Fontanarossa,Italy,CTA
Comiso,Italy,CIY
Florence,Italy,FLR
Genoa,Italy,GOA
Lamezia Terme,Italy,SUF
Milan Linate,Italy,LIN
Milan Malpensa,Italy,MXP
Naples,Italy,NAP
Olbia Costa Smeralda,Italy,OLB
Palermo,Italy,PMO
