,city,country,airport,lon,lat
0,Tirana,Albania,TIA,19.7206001282, 41.4146995544
1,Yerevan Zvartnots,Armenia,EVN,44.3959007263, 40.1473007202
2,Graz,Austria,GRZ,15.439599990844727, 46.9911003112793
3,Innsbruck,Austria,INN,11.344, 47.260201
4,Klagenfurt,Austria,KLU,14.3377, 46.642502
5,Linz,Austria,LNZ,14.1875, 48.2332
6,Salzburg,Austria,SZG,13.0043001175, 47.793300628699996
7,Vienna,Austria,VIE,16.569700241089, 48.110298156738
8,Baku,Azerbaijan,GYD,50.04669952392578, 40.467498779296875
9,Minsk,Belarus,MSQ,28.030700683594, 53.882499694824
10,Antwerp,Belgium,ANR,4.46027994156, 51.1893997192
11,Brussels,Belgium,BRU,4.48443984985, 50.901401519800004
12,Charleroi,Belgium,CRL,4.45382, 50.459202
13,Liege,Belgium,LGG,5.443220138549805, 50.63740158081055
14,Ostend Bruges,Belgium,OST,2.8622200489, 51.198898315399994
15,Sarajevo,Bosnia and Herzegovina,SJJ,18.331499099731445, 43.82460021972656
16,Tuzla,Bosnia and Herzegovina,TZL,18.72480010986328, 44.45869827270508
17,Burgas,Bulgaria,BOJ,27.515199661254883, 42.56959915161133
18,Sofia,Bulgaria,SOF,23.411436080932617, 42.696693420410156
19,Varna,Bulgaria,VAR,27.8251, 43.232101
20,Dubrovnik,Croatia,DBV,18.268199920654297, 42.5614013671875
21,Pula,Croatia,PUY,13.922200202941895, 44.89350128173828
22,Split,Croatia,SPU,16.29800033569336, 43.53889846801758
23,Zadar,Croatia,ZAD,15.3467, 44.108299
24,Zagreb,Croatia,ZAG,16.0687999725, 45.7429008484
25,Larnaca,Cyprus,LCA,33.624900817871094, 34.875099182128906
26,Paphos,Cyprus,PFO,32.48569869995117, 34.71799850463867
27,Brno,Czech Republic,BRQ,16.694400787353516, 49.15129852294922
28,Prague,Czech Republic,PRG,14.26, 50.1008
29,Aalborg,Denmark,AAL,9.84924316406, 57.0927589138
30,Aarhus,Denmark,AAR,10.619000434899998, 56.2999992371
31,Billund,Denmark,BLL,9.15178012848, 55.7402992249
32,Copenhagen,Denmark,CPH,12.656000137329, 55.617900848389
33,Vágar,Denmark,FAE,-7.277219772338867, 62.0635986328125
34,Tallinn,Estonia,TLL,24.832799911499997, 59.41329956049999
35,Helsinki,Finland,HEL,24.963300704956, 60.317199707031
36,Oulu,Finland,OUL,25.354600906372, 64.930099487305
37,Rovaniemi,Finland,RVN,25.830400466919, 66.564796447754
38,Tampere,Finland,TMP,23.604400634766, 61.414100646973
39,Turku,Finland,TKU,22.262800216675, 60.514099121094
40,Vaasa,Finland,VAA,21.762199401855, 63.050701141357
41,Ajaccio,France,AJA,8.8029203414917, 41.92359924316406
42,Bastia,France,BIA,9.48373031616211, 42.55270004272461
43,Bergerac,France,EGC,0.5186110138893127, 44.82529830932617
44,Biarritz,France,BIQ,-1.5311111, 43.4683333
45,Bordeaux,France,BOD,-0.715556025505, 44.828300476100004
46,Brest Bretagne,France,BES,-4.418540000915527, 48.447898864746094
47,Figari South Corsica,France,FSC,9.097780227661133, 41.5005989074707
48,Lille,France,LIL,3.086886, 50.563332
49,Lyon-Saint Exupéry,France,LYS,5.081111, 45.725556
50,Marseille,France,MRS,5.22142410278, 43.439271922
51,Montpellier,France,MPL,3.96301007270813, 43.57619857788086
52,Nantes,France,NTE,-1.61073005199, 47.153198242200006
53,Nice,France,NCE,7.215869903560001, 43.6584014893
54,Paris Beauvais,France,BVA,2.1127800941467285, 49.45439910888672
55,Paris Charles de Gaulle,France,CDG,2.55, 49.012798
56,Paris Orly,France,ORY,2.3794444, 48.7233333
57,Strasbourg,France,SXB,7.628230094909668, 48.538299560546875
